Jam tu shku	Po shkoj
Jam tu shkue	Po shkoj
Më ka ardh marre	Më ka ardhur turp
asht	është
Nuk asht marre me qa	Nuk është turp të qash
Asht nji gja	Është një gjë
Hajni s'ka brina	Hajduti s'ka brirë
Ma shum s'bahet	Më shumë s'bëhet
Ma mir me shku se me nejt	Më mirë të shkosh se të rrish
Asht ka vjen dimni	Po vjen dimri
Kqyre	Shikoje
Këqyre	Shikoje
Me punu asht nder	Të punosh është nder
Me punue asht nder	Të punosh është nder
Mos kqyr çka ban tjetri	Mos shiko çfarë bën tjetri
Me fillu	Të filosh
Me fillue	Të fillosh
Me harrue	Të harrosh
Me harru	Të harrosh
Ma mir me nji gru	Më mirë me një grua
Gegnisht	Gegërisht
Shqypnia	Shqipëria
Shqipnia	Shqipëria
Shqipni	Shqipëri
Shqypni	Shqipëri
Krejt kan ardh	Të gjithë kanë ardhur
vorr	varr
Gjergj Fishta lindi në katunin Fishtë të Zadrimës me 23 tetuer 1871, shkrimtar, deputet, shqiptar prej Shqypnie.	Gjergj Fishta lindi në fshatin Fishtë të Zadrimës më 23 tetor 1871, shkrimtar, deputet, shqiptar nga Shqipëeria.
Jetën e filloi si barì, por shumë shpejt, kur ish 6-vjeçar zgjuetsia e tij i bjen në sy famulltarit të katundit, i cili e çon Fishtën në Seminarin Françeskan të Shkodrës.	Jetën e filloi si bari, por shumë shpejt, kur ishte 6-vjeçar zgjuarësia e tij i bie në sy famullitarit të fshatit, i cili e dërgon Fishtën në Seminarin Françeskan të Shkodrës.
Në vjetin 1880, kur hapet seminari në Troshan, ai vijon në këtë shkollë.	Në vitin 1880 kur hapet seminari në Troshan, ai vijon në këtë shkollë.
Mësimet filozofike i muer në kuvendin e Sutidkës.	Mësimet filozofike i mori në kuvendin e Sutidkës,
Gjuha shqipe asht gjuhë e familjes indo-evropiane.	Gjuha shqipe ashtu gjuhë e familjes indo-evropiane.
Gjuha shqype	Gjuha shqipe
Kosova asht vend i pamvarun n’Evropën Juglindore.	Kosova është vend i pavarur në Evropën Juglindore.
Me shpalljen e pamvarsisë më 2008, Republika e Kosovës u ba shteti ma i ri në botë.	Me shpalljen e pavarësisë në 2008, Republika e Kosovës u bë shteti më i ri në botë.
Ka prodhue stabilitet të mbrendshëm dhe rajonal, si dhe synon antarsim në NATO dhe në Bashkim Evropian.	Ka prodhuar stabilitet të brendshëm dhe rajonal, si dhe synon anëtarësim në NATO dhe në Bashkim Evropian.
Megjithate, politikat antishqiptare, luftat, statusi politik dhe keqadministrimi ndërkombtar e vendor në vitet e fundit kanë ba që Kosova me u radhitë si vendi ma i varfën n’Evropë dhe ndër ma të varfnit në botë.	Megjithatë, politikat antishqiptare, luftërat, statusi politik dhe keqadministrimi ndërkombëtar e vendor në vitet e fundit kanë bërë që Kosova të radhitet si vendi më i varfër në Evropë dhe ndër më të varfërit në botë.
Kosova asht vendi i fundit qe e fitoi mëvetsinë si rrjedhojë e shpërbamjes së përgjakshme të kësaj federate.	Kosova është vendi i fundit që e fitoi pavarësinë si rrjedhojë e shpërbërjes së përgjakshme të kësaj federate.
Më 1990, Kosova u shpall republikë dhe më 1991 shtet i pamvarun, mirëpo nuk arriti me jetësue shtetsinë e vet në rrethanat e okupimit ushtarak serb që zgjati plot nji dekadë.	Më 1990, Kosova u shpall republikë dhe më 1991 shtet i pavarur, mirëpo nuk arriti ta jetësojë shtetësinë e vet në rrethanat e okupimit ushtarak serb që zgjati plot një dekadë.
Kosova u shpall shtet i pamvarun dhe sovran dhe deri tash a njoftë prej 75 vendeve në krejt botën, por vazhdon me u kundërshtue prej Serbisë qe pretendon sovranitet mbi mbarë truellin kosovar.	Kosova u shpall shtet i pavarur dhe sovran dhe deri tani është njohur prej 75 vendeve në të gjithë botën, por vazhdon të kundërshtohet prej Serbisë që pretendon sovranitet mbi mbarë truallin kosovar.
Kufinin e vetëm tokësor e ka me Irlandën, ndërsa në jug kanali i La Manshit e ndanë prej Francës.	Kufirin e vetëm tokësor e ka me Irlandën, ndërsa në jug kanali i La Manshit e ndan prej Francës.
Ai asht zgedh në krye të venit mas vdekjes s'Ibrahim Rugovës më 2006, u rizgedh më 2008 dhe e ka udhëheq venin deri në shtator 2010, kur dha dorëheqje.	Ai është zgjedhur në krye të vendit pas vdekjes së Ibrahim Rugovës më 2006, u rizgjodh më 2008 dhe e ka udhëhequr vendin deri në shtator 2010, kur dha dorëheqje.
Asht kanë edhe kryetar i Lidhjes Demokratike të Kosovës, deputet, anëtar i kryesisë së Kuvenit, dhe udhëheqës i Grupit Negociator të Kosovës në bisedimet për pamvarsi.	Ka qenë edhe kryetar i Lidhjes Demokratike të Kosovës, deputet, anëtar i kryesisë së Kuvendit, dhe udhëheqës i Grupit Negociator të Kosovës në bisedimet për pavarësi.
Ka shërbye si profesor në Fakultet të Drejtsisë n'Universitet të Prishtines dhe a’ kanë njani prej hartuesve të Kornizës Kushtetuese të Kosovës.	Ka shërbyer si profesor në Fakultetin e Drejtësisë në Universitetin e Prishtinës dhe ka qenë njëri prej hartuesve të Kornizës Kushtetuese të Kosovës.
Ismail Kadare asht shkrimtar shqiptar i njoftun në tanë botën.	Ismail Kadare është shkrimtar shqiptar i njohur në të gjithë botën.
